restaurant_id,restaurant_name,num_reviews_in_matrix,avg_rating_in_matrix,total_reviewers
5c8869bc8f40,Gopher Games,110,4.818181818181818,110
5c26b0ca2787,Star BBQ,110,4.072727272727272,110
5befa8e27a46,Dairy Queen Grill & Chill,110,2.909090909090909,110
dfa004e9889b,El Rancho Grande II,110,4.172727272727273,110
df40d3113325,The Idea Store,110,4.5181818181818185,110
66f0841f1906,Taco Bell,110,2.790909090909091,110
6783bcf7d788,Siam Terrace,110,4.4363636363636365,110
d5e1d1cf8c20,"Blain's Farm & Fleet - Urbana, Illinois",110,4.236363636363636,110
d6437ddcfc07,Alto Vineyards Champaign,110,4.636363636363637,110
736090794059,Farren's at The Inman,110,4.118181818181818,110
7358771dccd7,Caffé Bene,110,3.963636363636364,110
7347e5f1d7be,Legends,110,3.809090909090909,110
729ddd5abd7a,Raising Cane's Chicken Fingers,110,3.827272727272727,110
d73c6a33a6b3,Nando Milano,110,3.918181818181818,110
72046229f6ba,Naya Indian Cuisine,110,3.609090909090909,110
710a0ba5bffb,Jet's Pizza,110,3.518181818181818,110
70eaa366d829,Golden Harbor Authentic Chinese Cuisine,110,4.281818181818182,110
70bddf0f5877,Chipotle Mexican Grill,110,1.6454545454545455,110
70242a68e0c4,Tres Nopales,110,4.4363636363636365,110
6fc7e8e613df,The Apple Dumplin',110,4.254545454545455,110
6f735e4ebb94,Dubai Grill,110,4.6,110
6eede17fe096,Sam's Club,110,3.272727272727273,110
d8e479dd100c,Ashley Store,110,4.663636363636364,110
6e7cb23d7df0,Jersey Mike's Subs,110,3.7181818181818183,110
d8e60cc39d0b,Binny's Beverage Depot - Champaign,110,4.363636363636363,110
d8e8165a23ec,Tasty Tart,110,4.9,110
dc5e3c820995,Papa Johns Pizza,110,3.4,110
6bfd889641fc,Niemann Ace Hardware,110,4.554545454545455,110
6b81cffaf6a1,Marketplace Plaza,110,4.127272727272727,110
dca4535d9d65,Stango Cuisine,110,4.5181818181818185,110
dca9b14109e9,Baldarotta's Porketta & Sicilian Sausage,110,4.709090909090909,110
dcac80f03a66,Sarku Japan,110,3.8,110
680d3ba8352f,Potbelly,110,2.536363636363636,110
68037b4cda64,Champaign Commons,110,4.3545454545454545,110
ce25fcfc147f,Aspen Tap House,110,4.218181818181818,110
89ff888d8671,Walmart Supercenter,110,3.0090909090909093,110
8a29b5d1c889,AMC Champaign 13,110,3.2636363636363637,110
c53873f3d4cc,Whisk Coffee and Wine Bar,110,4.527272727272727,110
b18053bfeade,Billy Barooz Pub & Grill,110,4.345454545454546,110
b0baa4c6e71f,Dairy Queen Grill & Chill,110,3.0545454545454547,110
c3a6d4dafc7c,Papa Murphy's | Take 'N' Bake Pizza,110,4.472727272727273,110
b0597a3c8409,Urbana Country Club,110,4.6909090909090905,110
afe8874624ef,Macy's,110,3.5272727272727273,110
c3fae4ed3142,GOLDEN WHEAT(LAO BIAO 老表),110,4.172727272727273,110
af6edba3ef47,Little Caesars Pizza,110,2.6272727272727274,110
c49d5c3b6948,Buffalo Wild Wings,110,2.5454545454545454,110
aee2039fb441,Bab Plus Restaurant,110,3.9909090909090907,110
ad4b982cfc58,chili bistro-川湘阁,110,4.945454545454545,110
ad1fddb5c059,McDonald's,110,2.109090909090909,110
ad1ee6832d9e,Fern & Flora,110,4.918181818181818,110
ace9a4f4c103,Hamilton Walker's,110,4.409090909090909,110
c574dd37a9ce,EVO 重慶,110,3.981818181818182,110
8a810ee9cdba,Los Zarapes,110,4.181818181818182,110
c5831ff40835,Parlor Doughnuts,110,4.1454545454545455,110
c5f84726bb01,Café Kopi,110,4.009090909090909,110
ab64b7b4150d,Naf Naf Grill,110,4.1454545454545455,110
aabd60456c4f,Cracker Barrel Old Country Store,110,3.7636363636363637,110
c6371b50c149,Jimmy John's,110,3.390909090909091,110
a960398f129d,Hound's Rest,110,4.527272727272727,110
a8c7cea71469,Walmart Supercenter,110,3.036363636363636,110
a88586122302,The Space,110,4.590909090909091,110
a7f2a1097923,Liquor Land,110,4.763636363636364,110
a7d3c3b29fbd,Denny's,110,4.136363636363637,110
a75d4915ab24,County Market,110,3.4363636363636365,110
a6c8f3b96909,Pia's Sports Bar & Grill,110,4.218181818181818,110
a653ea2e08eb,ISHI & Kaori’s Oven,110,4.890909090909091,110
b1821ceb07b9,Mid Summer Lounge,110,4.290909090909091,110
b1ab48669e02,Old Orchard Lanes & Links,110,4.390909090909091,110
b24c3ccb38a5,DD Fish 炉鱼,110,4.536363636363636,110
b2833007b2e6,Arrowhead Lanes,110,2.8,110
bde7b68daae5,Ruler Foods,110,4.2727272727272725,110
bed32755a4b5,VIDA Bottega,110,4.818181818181818,110
bd2a149fc8fc,Fat City Bar and Grill,110,4.245454545454545,110
c019a0d1e6e7,YoYo's Coffee & Bar,110,4.681818181818182,110
bc235f512338,Mesón Sabika,110,4.5181818181818185,110
bb210a1676bd,Champaign Public Library,110,4.445454545454545,110
baecb980ec15,Bentley's Pub,110,4.409090909090909,110
babfbeeaf5da,The Bread Company,110,4.409090909090909,110
c036a81950b4,Schnucks Urbana,110,3.6272727272727274,110
ba0f439a751c,Maple & Yolk,110,4.790909090909091,110
c17e9d195a04,The City Center,110,4.490909090909091,110
c1c227f39117,Manolo's Pizza & Empanadas,110,4.3545454545454545,110
b84c39140755,Mo's Burritos,110,4.4,110
c21669df1010,Cheese & Crackers,110,4.754545454545455,110
b7a27e345ac4,Illini Union,110,4.581818181818182,110
c21f98c17cfc,Smoothie King,110,3.8727272727272726,110
b6e05b4b4f25,Jimmy John's,110,3.481818181818182,110
b69beccc699a,BrewLab Coffee,110,4.509090909090909,110
c25240c6c973,The Literary,110,4.581818181818182,110
b5eba676c80a,Sticky Rice - Downtown,110,4.345454545454546,110
b51666ff4c92,McDonald's,110,2.1818181818181817,110
b4c30d9b0598,Prairie Fruits Farm and Creamery,110,4.790909090909091,110
